"nameCompany","streetAddress","postalCode","addressLocality","column1"
"Kaufland Berlin-Pankow","Breite Str. 19-21 A","13187","Berlin-Pankow","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Berlin-Heinersdorf","Romain-Rolland-Str. 13","13089","Berlin-Heinersdorf","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Eiche, Kaufpark","Landsberger Chaussee 17","16356","Eiche","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Berlin-Märkisches Viertel","Senftenberger Ring 15-17","13439","Berlin-Märkisches Viertel","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Berlin-Wittenau","Eichhorster Weg 96","13435","Berlin-Wittenau","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Frankfurt (Oder), Josef-Ge","Josef-Gesing-Str. 6","15234","Frankfurt (Oder)","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Frankfurt (Oder), Heilbron","Heilbronner Str. 30","15230","Frankfurt (Oder)","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Hennigsdorf","Postplatz 4-4c","16761","Hennigsdorf","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Frankfurt (Oder), Spitzkru","Spitzkrugring 1 A","15234","Frankfurt (Oder)","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Berlin-Buch","Walter-Friedrich-Str. 4","13125","Berlin-Buch","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Hohen Neuendorf","Schönfließer Str. 66","16540","Hohen Neuendorf","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Strausberg","Otto-Grotewohl-Ring 72","15344","Strausberg","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Oranienburg","Friedensstr. 8","16515","Oranienburg","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Seelow","Diedersdorfer Str. 12 a","15306","Seelow","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Neuruppin","Junckerstr. 26","16816","Neuruppin","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Wittenberge","Wahrenberger Str. 67","19322","Wittenberge","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Eberswalde, Eberswalder St","Eberswalder Str. 87","16227","Eberswalde-Finow","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Bad Freienwalde","Eduardshof 3","16259","Bad Freienwalde","https://www.meinprospekt.de/filialen/kaufland/1"
"Kaufland Eberswalde, Angermünder","Angermünder Str. 66","16225","Eberswalde","https://www.meinprospekt.de/filialen/kaufland/1"
