X,Y,OBJECTID,INDEX_NO,REGION_NO,PORT_NAME,COUNTRY,LATITUDE,LONGITUDE,LAT_DEG,LAT_MIN,LAT_HEMI,LONG_DEG,LONG_MIN,LONG_HEMI,PUB,CHART,HARBORSIZE,HARBORTYPE,SHELTER,ENTRY_TIDE,ENTRYSWELL,ENTRY_ICE,ENTRYOTHER,OVERHD_LIM,CHAN_DEPTH,ANCH_DEPTH,CARGODEPTH,OIL_DEPTH,TIDE_RANGE,MAX_VESSEL,HOLDGROUND,TURN_BASIN,PORTOFENTR,US_REP,ETAMESSAGE,PILOT_REQD,PILOTAVAIL,LOC_ASSIST,PILOTADVSD,TUGSALVAGE,TUG_ASSIST,PRATIQUE,SSCC_CERT,QUAR_OTHER,COMM_PHONE,COMM_FAX,COMM_RADIO,COMM_VHF,COMM_AIR,COMM_RAIL,CARGOWHARF,CARGO_ANCH,CARGMDMOOR,CARBCHMOOR,CARICEMOOR,MED_FACIL,GARBAGE,DEGAUSS,DRTYBALLST,CRANEFIXED,CRANEMOBIL,CRANEFLOAT,LIFT_100_,LIFT50_100,LIFT_25_49,LIFT_0_24,LONGSHORE,ELECTRICAL,SERV_STEAM,NAV_EQUIP,ELECREPAIR,PROVISIONS,WATER,FUEL_OIL,DIESEL,DECKSUPPLY,ENG_SUPPLY,REPAIRCODE,DRYDOCK,RAILWAY
-61.733333332991172,16.000000000368775,2322,11460,11445,BASSE TERRE,GP,16,-61.733333,16,0,N,61,44,W,147,25567,V,OR,P,Y,Y,N,Y,Y, ,A,L, ,0,L, ,Y,Y,N,Y,Y,Y, ,Y,N,N, , ,Y, , ,Y, ,Y, ,Y,Y, , , ,Y,Y, ,N, ,Y, , , ,Y, ,Y, , , , ,Y,Y,N,Y, , , , , 
-61.53333333351808,16.416666666567757,2323,11470,11445,PORT LOUIS,GP,16.416667,-61.533333,16,25,N,61,32,W,147,25567,V,OR,P,N,N,N,N,N, ,J,Q, ,1,L, ,Y, , , , , , , , , , , , ,Y,Y, , , , , ,Y, , , , , , ,N, , , , , , , , , , , , , , , , , , , , , 
-61.399999999937137,15.300000000152426,2324,11520,11515,ROSEAU,DM,15.3,-61.4,15,18,N,61,24,W,147,25561,V,CN,F,N,N,N,N,N,A,A,K,K,2,L, , , ,N,Y,Y,Y, , ,N,N, , ,Y, , ,Y,Y,Y, ,Y, , , , ,Y,Y, ,N, , ,Y, ,Y,Y,Y,Y, , ,Y,Y, ,Y, ,Y,N,N,C, , 
-61.466666666727605,15.566666666778985,2325,11530,11515,PORTSMOUTH,DM,15.566667,-61.466667,15,34,N,61,28,W,147,25561,V,CN,F,N,N,N,Y,N, ,K,G, ,2,L,Y, , ,N,Y,N,Y, , ,N,N, , ,Y, , ,Y,N,Y, , ,Y, , , ,Y,Y, ,N, , , , , , , ,Y, , , , ,Y,Y,Y,N, , , , , 
-61.066666666883108,14.600000000044115,2326,11550,11535,FORT DE FRANCE,MQ,14.6,-61.066667,14,36,N,61,4,W,147,25527,M,OR,G,N,N,N,Y,N,K,K,H,G,1,L,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y, ,Y, , ,Y,Y,Y, ,Y, , , , ,Y,Y, ,N, ,Y, , , ,Y,Y,Y, , ,N,N,Y,Y,Y, , , ,C,M, 
-79.716666666932056,43.083333333501557,2327,3092,2820,THOROLD,CA,43.083333,-79.716667,43,5,N,79,43,W,C302,14820,S,LC,G,N,N,N,Y,Y,L, ,L, ,0,L,N,N, , , ,Y, , , ,N,N,Y, , ,Y, ,Y, ,N, ,Y,Y, , , ,Y, , ,N, , , , , , , , , , ,Y,Y,Y,Y,Y,Y,Y,Y,C, , 
-79.283333333692298,43.183333333187548,2328,3095,2820,ST CATHERINE,CA,43.183333,-79.283333,43,11,N,79,17,W,C302,14820,V,LC,G,Y,N,N,Y,Y,K,K,M,M,0,L,Y, ,Y,N,Y,Y, , , ,N,N,Y, , ,Y, ,Y, ,Y, ,Y,Y, , , ,Y, , ,N, , , , , , , , , , ,Y,Y,Y,Y,Y,Y,Y,Y,C, , 
-79.06666666707244,43.250000000257323,2329,3100,2820,NIAGARA,CA,43.25,-79.066667,43,15,N,79,4,W,C302,14816,V,RN,E,N,N,Y,Y,Y,N,H,K, ,0,M, , ,Y,N,Y,Y, , , ,N,N, , , , , , , , ,Y,Y, , , , , , , ,N, , ,Y, , , ,Y, , , , , , , , , , , , , , 
-79.06666666707244,43.166666666493064,2330,3110,2820,QUEENSTON,CA,43.166667,-79.066667,43,10,N,79,4,W,C302,14816,V,RN,E,N,N,Y,Y,Y,M,L,O, ,0,M, , ,N,N,Y,Y, , , ,N,N, , , , , , , , , ,Y, , , , , , , ,N, , , , , , , , , , , , , , , , , , , , , 
-76.133333333681634,44.066666666356468,2331,3130,3120,CHAUMONT,US,44.066667,-76.133333,44,4,N,76,8,W,CP06,14811,V,CN,E,N,N,N,Y,Y,L,N,P, ,0,M,Y, ,N, ,N,Y, , , ,N,N,Y,Y, ,Y, , , , , ,Y, , , , , , , ,N, , , , , ,Y, , , , , , ,Y,Y,Y,Y,Y,Y,C, ,S
